city,country,iso2,latitude,longitude,time_zone,population
Andorra la Vella,Andorra,AD,42.5,1.5,Europe/Andorra,22615
Sant Pere,Andorra,AD,42.5833,1.65,Europe/Andorra,22256
Escaldes-Engordany,Andorra,AD,42.5089,1.5408,Europe/Andorra,15506
Encamp,Andorra,AD,42.5361,1.5828,Europe/Andorra,12826
La Massana,Andorra,AD,42.5442,1.5164,Europe/Andorra,11591
Sant Julià de Lòria,Andorra,AD,42.47,1.49,Europe/Andorra,9915
Canillo,Andorra,AD,42.5664,1.6009,Europe/Andorra,5781
Ordino,Andorra,AD,42.5562,1.5332,Europe/Andorra,4858
Dubai,United Arab Emirates,AE,25.2697,55.3094,Asia/Dubai,4945000
Abu Dhabi,United Arab Emirates,AE,24.4511,54.3969,Asia/Dubai,1570000
Sharjah,United Arab Emirates,AE,25.3375,55.4119,Asia/Dubai,1247749
Al ‘Ayn,United Arab Emirates,AE,24.2075,55.7447,Asia/Dubai,766936
‘Ajmān,United Arab Emirates,AE,25.3994,55.4797,Asia/Dubai,490035
Ra’s al Khaymah,United Arab Emirates,AE,25.7851,55.9479,Asia/Dubai,115949
Al Fujayrah,United Arab Emirates,AE,25.1222,56.3344,Asia/Dubai,93673
Kalbā,United Arab Emirates,AE,25.0513,56.3542,Asia/Dubai,54876
Umm al Qaywayn,United Arab Emirates,AE,25.5598,55.5572,Asia/Dubai,44411
Khawr Fakkān,United Arab Emirates,AE,25.3392,56.3561,Asia/Dubai,39151
Madīnat Zāyid,United Arab Emirates,AE,23.6522,53.6536,Asia/Dubai,29095
Al Jazīrah al Ḩamrā’,United Arab Emirates,AE,25.7089,55.7972,Asia/Dubai,10190
Kabul,Afghanistan,AF,34.5328,69.1658,Asia/Kabul,5333284
Kandahār,Afghanistan,AF,31.6207,65.7159,Asia/Kabul,614254
Mazār-e Sharīf,Afghanistan,AF,36.7,67.1167,Asia/Kabul,568013
Herāt,Afghanistan,AF,34.3419,62.2031,Asia/Kabul,556205
Kunduz,Afghanistan,AF,36.7289,68.8569,Asia/Kabul,356536
Jalālābād,Afghanistan,AF,34.4303,70.4528,Asia/Kabul,318733
Tāluqān,Afghanistan,AF,36.7358,69.5347,Asia/Kabul,258758
Lashkar Gāh,Afghanistan,AF,31.5938,64.3716,Asia/Kabul,201546
Shibirghān,Afghanistan,AF,36.665,65.752,Asia/Kabul,175599
Chārīkār,Afghanistan,AF,35.0167,69.1667,Asia/Kabul,171200
Khōst,Afghanistan,AF,33.3333,69.9167,Asia/Kabul,160214
Ghaznī,Afghanistan,AF,33.5492,68.4233,Asia/Kabul,143379
Pul-e Khumrī,Afghanistan,AF,35.95,68.7,Asia/Kabul,139252
Spīn Bōldak,Afghanistan,AF,31.0081,66.3981,Asia/Kabul,123945
Maīmanah,Afghanistan,AF,35.9333,64.75,Asia/Kabul,108049
Baghlān,Afghanistan,AF,36.1328,68.7,Asia/Kabul,89625
Bāzār-e Yakāwlang,Afghanistan,AF,34.7333,66.9667,Asia/Kabul,76000
Gardēz,Afghanistan,AF,33.5931,69.2297,Asia/Kabul,70000
Tarīn Kōṯ,Afghanistan,AF,32.6242,65.8767,Asia/Kabul,70000
Māmā Khēl,Afghanistan,AF,34.25,70.01,Asia/Kabul,66392
Faīẕābād,Afghanistan,AF,37.1166,70.58,Asia/Kabul,64704
Farāh,Afghanistan,AF,32.3436,62.1194,Asia/Kabul,54000
Ghōriyān,Afghanistan,AF,34.3448,61.4932,Asia/Kabul,54000
Sar-e Pul,Afghanistan,AF,36.2214,65.9278,Asia/Kabul,51075
Qalāt,Afghanistan,AF,32.1061,66.9069,Asia/Kabul,49158
Saint John’s,Antigua and Barbuda,AG,17.1211,-61.8447,America/Antigua,21394
The Valley,Anguilla,AI,18.2208,-63.0517,America/Anguilla,1067
Tirana,Albania,AL,41.3283,19.8181,Europe/Tirane,526017
Durrës,Albania,AL,41.3163,19.4474,Europe/Tirane,153614
Elbasan,Albania,AL,41.1131,20.0818,Europe/Tirane,66834
Vlorë,Albania,AL,40.45,19.4833,Europe/Tirane,66320
