"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"London","London","51.5072","-0.1275","United Kingdom","GB","GBR","London, City of","primary","11262000","1826645935"
"Paris","Paris","48.8567","2.3522","France","FR","FRA","Île-de-France","primary","11060000","1250015082"
"New York","New York","40.6943","-73.9249","United States","US","USA","New York","","19268388","1840034016"
"Mexico City","Mexico City","19.3538","-99.1359","Mexico","MX","MEX","Ciudad de México","primary","21804000","1484247881"
"São Paulo","Sao Paulo","-23.5504","-46.6339","Brazil","BR","BRA","São Paulo","admin","23086000","1076532519"
"Cairo","Cairo","30.0444","31.2358","Egypt","EG","EGY","Al Qāhirah","primary","20296000","1818253931"
"Johannesburg","Johannesburg","-26.2044","28.0416","South Africa","ZA","ZAF","Gauteng","admin","4803262","1710550792"
"Istanbul","Istanbul","41.0100","28.9603","Turkey","TR","TUR","İstanbul","admin","15519267","1792756324"
"Dubai","Dubai","25.2697","55.3094","United Arab Emirates","AE","ARE","Dubayy","admin","4945000","1784736618"
"Mumbai","Mumbai","19.0758","72.8775","India","IN","IND","Mahārāshtra","admin","24973000","1356226629"
"Singapore","Singapore","1.3000","103.8000","Singapore","SG","SGP","","primary","5983000","1702341327"
"Beijing","Beijing","39.9040","116.4075","China","CN","CHN","Beijing","primary","21893095","1156228865"
"Shanghai","Shanghai","31.2325","121.4692","China","CN","CHN","Shanghai","admin","24870895","1156073548"
"Tokyo","Tokyo","35.6850","139.7514","Japan","JP","JPN","Tōkyō","primary","37785000","1392685764"
"Sydney","Sydney","-33.8678","151.2100","Australia","AU","AUS","New South Wales","admin","5450496","1036074917"
